tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,Tipo,Municipio,tiempototal,an,mayor
1,5,62,7,70,9,5,3,154,2000,0
11,5,61,7,70,9,2,2,163,2000,0
2,5,60,7,70,9,2,6,153,2000,0
7,5,59,7,70,9,2,7,157,2000,0
6,5,58,7,70,9,2,1,155,2000,0
10,5,57,7,70,9,4,21,158,2000,0
7,5,56,7,70,9,3,9,154,2000,0
2,5,55,7,70,9,6,20,148,2000,0
4,5,54,7,70,9,7,6,149,2000,0
11,5,53,7,70,9,3,12,155,2000,0
9,5,52,7,70,9,3,22,152,2000,0
15,5,51,7,70,9,4,12,157,2000,0
7,5,50,7,70,9,2,9,148,2000,0
1,5,49,7,70,9,5,17,141,2000,0
5,5,48,7,70,9,6,1,144,2000,0
5,5,47,7,70,9,2,10,143,2000,0
6,5,46,7,70,9,4,26,143,2000,0
3,5,45,7,70,9,1,14,139,2000,0
9,5,44,7,70,9,5,5,144,2000,0
4,5,43,7,70,9,1,24,138,2005,0
6,5,42,7,70,9,2,18,139,2005,0
2,5,41,7,70,9,5,25,134,2005,0
5,5,40,7,70,9,3,4,136,2005,0
4,5,39,7,70,9,1,26,134,2005,0
9,5,38,7,70,9,4,18,138,2005,0
3,5,37,7,70,9,7,19,131,2005,0
4,5,36,7,70,9,2,20,131,2005,0
9,5,35,7,70,9,5,21,135,2005,0
8,5,34,7,70,9,4,26,133,2005,0
1,22,106,6,13,6,2,22,154,2019,0
8,20,42,2,17,8,7,13,97,2016,0
4,6,128,1,27,3,2,25,169,2007,1
5,38,147,8,16,7,7,14,221,2015,1
10,30,127,2,7,4,7,9,180,2020,0
10,44,6,6,32,5,1,13,103,2021,0
3,16,118,2,18,1,5,25,158,2003,0
13,46,3,8,31,5,5,8,106,2011,0
2,30,44,8,12,2,6,17,98,2017,0
9,31,100,4,16,2,6,26,162,2002,1
1,49,116,5,19,9,5,25,199,2022,1
6,48,82,10,27,1,6,20,174,2002,0
4,49,5,2,29,1,4,11,90,2003,0
12,17,145,9,26,2,5,13,211,2011,1
4,10,39,2,26,7,2,8,88,2002,0
9,4,116,5,13,3,2,17,150,2022,0
14,36,120,8,16,3,4,24,197,2002,1
5,23,54,9,11,2,4,27,104,2022,0
2,47,145,9,23,3,5,8,229,2006,1
2,16,18,3,13,8,2,20,60,2009,0
14,43,104,3,14,1,4,9,179,2019,1
4,44,149,5,37,4,6,17,243,2010,1
4,41,88,5,6,7,3,17,151,2016,0
12,17,112,3,26,9,1,6,179,2006,0
10,17,137,10,24,9,7,7,207,2001,1
6,16,37,8,32,3,5,22,102,2013,0
8,17,137,8,39,8,7,6,217,2005,1
11,29,29,6,1,7,3,5,83,2002,0
15,25,135,2,38,4,2,18,219,2006,1
1,23,100,8,18,3,5,3,153,2021,0
14,49,118,9,27,4,7,21,221,2011,1
2,44,138,1,32,7,6,9,224,2019,1
11,5,72,6,33,4,5,15,131,2014,0
6,7,53,10,25,2,3,26,103,2022,0
1,3,130,10,13,4,4,26,161,2004,0
15,33,87,5,27,2,4,19,169,2005,0
14,17,33,9,35,2,4,7,110,2019,0
13,11,116,7,19,5,5,10,171,2001,0
1,8,131,4,33,5,1,24,182,2014,1
3,11,60,7,26,2,1,27,109,2012,0
2,37,117,2,7,3,5,20,168,2018,0
5,46,58,2,6,3,1,10,120,2004,0
9,14,91,4,29,7,4,1,154,2012,1
15,21,109,8,9,2,6,17,164,2019,1
8,1,83,7,16,4,4,21,119,2012,0
3,36,15,6,19,2,4,7,81,2003,0
5,49,122,4,18,2,3,9,200,2018,1
10,15,65,9,29,4,4,25,132,2006,0
2,30,86,5,5,3,4,7,131,2004,0
8,8,93,3,27,9,6,25,148,2005,0
8,45,86,9,28,4,5,14,180,2006,0
9,3,38,1,19,3,4,21,73,2013,0
2,2,81,8,28,5,4,9,126,2022,0
1,5,101,1,27,8,3,19,143,2015,0
11,26,76,2,2,4,6,13,121,2015,0
14,21,21,7,12,5,5,20,80,2018,0
3,28,18,9,27,5,4,25,90,2003,0
3,38,103,10,30,3,2,13,187,2011,1
6,49,30,1,31,5,1,1,122,2009,0
11,2,41,10,35,8,5,5,107,2014,0
8,29,74,9,28,8,3,3,156,2015,0
14,34,8,6,26,6,4,17,94,2011,0
3,4,84,7,34,3,2,3,135,2003,0
12,45,7,3,12,3,7,8,82,2005,0
1,43,70,2,23,5,6,22,144,2011,0
8,18,62,6,30,6,5,14,130,2012,0
13,8,83,7,37,6,7,18,154,2011,1
15,11,103,6,6,8,2,6,149,2001,0
6,12,15,5,23,7,6,21,68,2003,0
11,40,17,10,21,8,4,17,107,2020,0
4,26,82,3,8,3,3,20,126,2012,0
1,36,27,3,28,4,5,21,99,2012,0
1,38,116,10,15,1,6,23,181,2004,1
5,43,112,1,33,6,5,18,200,2021,1
10,8,3,9,11,5,5,5,46,2010,0
1,3,86,3,24,7,1,4,124,2006,0
10,25,64,6,20,6,7,7,131,2017,0
12,27,135,8,37,6,4,7,225,2012,1
14,4,10,10,14,2,5,23,54,2001,0
13,17,134,6,17,9,4,20,196,2015,1
12,32,150,5,2,4,2,13,205,2020,1
13,47,43,8,12,3,3,20,126,2004,0
1,37,82,3,5,8,5,21,136,2010,0
15,45,139,2,26,4,2,8,231,2002,1
9,11,55,4,14,3,2,7,96,2022,0
12,10,116,5,20,2,5,1,165,2001,1
14,26,25,7,15,2,4,16,89,2009,0
3,17,150,9,3,3,1,2,185,2013,1
14,38,56,9,23,9,5,16,149,2021,0
2,37,46,1,16,8,5,9,110,2008,0
10,6,150,6,30,2,2,1,204,2022,1
5,7,31,5,19,4,6,27,71,2004,0
8,7,122,9,10,9,4,16,165,2005,0
15,2,89,4,1,7,6,27,118,2012,0
14,43,53,3,6,6,4,18,125,2015,0
9,13,105,3,30,7,6,26,167,2013,1
2,29,136,4,20,9,1,19,200,2016,1
14,11,58,3,31,8,6,20,125,2021,0
6,23,45,2,26,3,3,25,105,2006,0
3,18,144,10,3,6,1,27,184,2007,0
13,19,31,4,23,8,6,11,98,2020,0
10,45,129,10,3,4,3,25,201,2005,1
10,40,14,2,21,1,7,3,88,2022,0
10,7,118,5,3,1,5,15,144,2001,0
5,11,97,4,26,8,1,5,151,2010,0
4,28,85,4,27,8,1,26,156,2002,0
